"country","percentage"
"Afghanistan",35.7
"Albania",60.7823470411234
"Algeria",41.6413373860182
"Argentina",44.332998996991
"Armenia",59.6984924623116
"Australia",61.8381618381618
"Austria",65.9
"Azerbaijan",33.3668341708543
"Bangladesh",39.6969696969696
"Belarus",43.4324065196548
"Belgium",60.5
"Benin",49.7963340122199
"Bolivia",61.8856569709127
"Bosnia and Herzegovina",42.8863868986693
"Botswana",36.7305751765893
"Brazil",37.111334002006
"Bulgaria",43.5051546391753
"Burkina Faso",46.6529351184346
"Burundi",29.3819655521783
"Cambodia",45.4086781029263
"Cameroon",59.4949494949495
"Canada",73.3926805143422
"Chad",42.1989528795811
"Chile",55.7114228456914
"China",39.959373186303
"Colombia",49.9499499499499
"Comoros",51.8145161290323
"Costa Rica",51.2024048096192
"Croatia",40.9137055837563
"Cyprus",61.9284294234592
"Czech Republic",22.8370221327968
"Denmark",69.4694694694695
"Dominican Republic",52.7327935222672
"Ecuador",57.0712136409228
"Egypt",29.103726082578
"El Salvador",43.9195979899498
"Estonia",56.0851926977688
"Eswatini",39.1700404858301
"Ethiopia",35.0051177072671
"Finland",65.3
"France",66.1957618567104
"Gabon",49.5468277945619
"Georgia",52.1564694082247
"Germany",65.8658658658658
"Ghana",37.0182555780933
"Greece",33.066132264529
"Guatemala",46.2387161484453
"Guinea",42.6954732510288
"Haiti",40.1234567901235
"Honduras",50.501002004008
"Hungary",41.6498993963783
"Iceland",58.2
"India",24.723374827109
"Indonesia",37.941473259334
"Iran",66.4670658682635
"Iraq",46.4717741935484
"Ireland",62.1
"Israel",51.3916500994036
"Italy",67.6
"Ivory Coast",45.1546391752577
"Japan",64.9350649350649
"Jordan",62.8256513026052
"Kazakhstan",39.4897959183674
"Kenya",62.124248496994
"Kosovo",64.206268958544
"Kuwait",57.9739217652959
"Kyrgyzstan",38.9779559118236
"Laos",42.0124481327801
"Latvia",50
"Lebanon",36.8473895582329
"Liberia",55.8044806517311
"Libya",55.8558558558558
"Lithuania",39.4897959183674
"Luxembourg",59.0725806451613
"Macedonia",43.8631790744467
"Madagascar",25.0252270433906
"Malawi",29.6859169199594
"Malaysia",54.8453608247423
"Mali",43.2790224032586
"Malta",41.1940298507463
"Mauritania",29.2207792207792
"Mauritius",51.9153225806451
"Mexico",45.7364341085272
"Moldova",43.3467741935484
"Mongolia",50.6
"Montenegro",50.7692307692308
"Morocco",46.9493278179938
"Mozambique",47.2837022132796
"Myanmar",23.0846774193549
"Namibia",42.4395161290323
"Nepal",39.2176529588766
"Netherlands",60.2397602397602
"New Zealand",58.8588588588589
"Nicaragua",40.9638554216868
"Niger",46.195652173913
"Nigeria",39.738430583501
"Northern Cyprus",48.2
"Norway",66.6332665330661
"Pakistan",23.5714285714286
"Palestinian Territories",56.7703109327984
"Panama",41.8090452261306
"Paraguay",40.9274193548387
"Peru",59.5766129032258
"Philippines",35.3768844221106
"Poland",29.6370967741935
"Portugal",60.6393606393607
"Republic of Congo",48.7704918032787
"Romania",58.4924623115577
"Russia",52.9233870967742
"Rwanda",49.5893223819302
"Saudi Arabia",60.0393700787401
"Senegal",35.2642276422764
"Serbia",55.3407934893185
"Sierra Leone",35.2201257861635
"Singapore",55.3106212424849
"Slovakia",37.3239436619718
"Slovenia",63.1
"South Africa",40.6218655967904
"South Korea",66.402378592666
"Spain",62.625250501002
"Sri Lanka",44.0291704649043
"Sweden",66.7667667667668
"Switzerland",67.6028084252758
"Taiwan",67.8678678678678
"Tajikistan",50.7583417593529
"Tanzania",37.037037037037
"Thailand",43.4020618556701
"The Gambia",48.4199796126402
"Togo",34.8268839103869
"Tunisia",42.7125506072874
"Turkey",51.269035532995
"Turkmenistan",30.3589743589743
"Uganda",62.3862487360971
"Ukraine",43.6491935483871
"United Arab Emirates",58.1256231306082
"United Kingdom",55.7673019057172
"United States",75.6461232604374
"Uruguay",56.7567567567567
"Uzbekistan",44.9799196787149
"Venezuela",53.9078156312625
"Vietnam",33.6008024072217
"Yemen",33.4012219959267
"Zambia",53.7917087967644
"Zimbabwe",45.4363089267803
